Timestamp,Which age group do you belong to?,Gender,"How do you purchase electronic items such as mobile phones, laptops, watches, and TVs?",What factors influence your decision to purchase electronic items from e-commerce websites or offline stores? (Select all that apply),How satisfied are you with the pricing of electronic items on e-commerce websites compared to offline stores?,Which channel do you find more convenient for purchasing electronic items?,How would you rate the overall shopping experience when purchasing electronic items from e-commerce websites compared to offline stores?,How frequently do you purchase electronic gadgets online?,What type of electronic gadgets do you typically purchase online? (Select all that apply),How would you rate your overall satisfaction with the variety of electronic gadgets available on e-commerce website?,What factors influence your decision to purchase electronic gadgets online? (Select all that apply),How likely are you to recommend e-commerce website to others for purchasing electronic gadgets?,What improvements or additions would you like to see in the range of electronic gadgets offered on e-commerce website?,"On a scale of 1 to 10, how satisfied are you with the user experience (navigation, search functionality, checkout process, etc.) when browsing electronic gadgets on website?
 (1 being the lowest/worst score).
",How important are customer reviews and ratings in influencing your decision to purchase electronic gadgets online?,How often do you rely on comparison tools or features to compare different electronic gadgets before making a purchase decision?,Which payment method do you prefer when purchasing electronic gadgets online?,Which e-commerce website do you prefer the most for purchasing electronic gadgets?,During which occasions or festivals do you prefer to purchase electronic items from e-commerce websites or offline stores? (Select all that apply)
02/04/2024 20:46:16,18-24 years,Female,Equally from e-commerce websites and offline stores,"Price competitiveness, Product assortment and availability, Ability to physically inspect and test the product, Immediate availability of the product, Customer service and support, Discounts and promotions",Much Lower on E-commerce Websites,E-commerce Websites,Slightly Better in Offline Stores,Occasionally,"Smartphones, Laptops, Tablets, Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs)",Satisfied,"Price competitiveness, Brand reputation, Product specifications and features, Discounts and promotions, Fast and reliable delivery, Easy returns and refunds",Slightly Likely,"Provide informative content such as buying guides, tutorials, and comparison articles to help customers understand the features and benefits of different gadgets. This can empower them to make confident purchasing decisions.",9,Extremely Important,Never,UPI (Unified Payments Interface),Amazon India,"Diwali, New Year, Dussehra"
03/04/2024 21:43:18,18-24 years,Male,"Mostly from e-commerce websites, occasionally from offline stores",Discounts and promotions,About the Same,E-commerce Websites,About the Same,Occasionally,"Smartphones, Wearable devices (smartwatches, fitness trackers), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Product specifications and features, Discounts and promotions",Neutral,Better featurs,7,Very Important,Occasionally,Credit/Debit Card,Amazon India,"Diwali, Republic Day"
03/04/2024 21:47:32,18-24 years,Female,"Mostly from e-commerce websites, occasionally from offline stores",Convenience of shopping from home,About the Same,Offline Stores,About the Same,Occasionally,"Laptops, Wearable devices (smartwatches, fitness trackers), Audio/Visual equipment (headphones, speakers, TVs), Digital pen",Neutral,"Product reviews and ratings, Fast and reliable delivery, Payment options",Neutral,No,7,Very Important,Occasionally,UPI (Unified Payments Interface),Amazon India,"Independence Day, Republic Day, Dussehra"
03/04/2024 21:48:11,18-24 years,Female,"Mostly from offline stores, occasionally from e-commerce websites","Price competitiveness, Ability to physically inspect and test the product, Customer service and support",Slightly Lower on E-commerce Websites,Both Equally Convenient,Slightly Better in Offline Stores,Occasionally,"Wearable devices (smartwatches, fitness trackers), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Product reviews and ratings, Product specifications and features, Easy returns and refunds",Likely,None,8,Very Important,Frequently,UPI (Unified Payments Interface),Amazon India,"Diwali, New Year"
03/04/2024 21:54:01,18-24 years,Male,Equally from e-commerce websites and offline stores,"Price competitiveness, Convenience of shopping from home, Ability to physically inspect and test the product, Immediate availability of the product",Slightly Lower on E-commerce Websites,Both Equally Convenient,About the Same,Occasionally,"Smartphones, Wearable devices (smartwatches, fitness trackers)",Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Product specifications and features, Easy returns and refunds",Likely,Availability of more options (sometimes you can't find all products you need),9,Moderately Important,Occasionally,Credit/Debit Card,Amazon India,New Year
03/04/2024 21:55:50,18-24 years,Female,Exclusively from offline stores,Analysis of the product price and quality ,Slightly Higher in Offline Stores,Offline Stores,Slightly Better in Offline Stores,Occasionally,"Smartphones, Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Brand reputation, Discounts and promotions, Easy returns and refunds",Likely,Self review and quality check,7,Very Important,Always,UPI (Unified Payments Interface),Amazon India,"Eid, New Year, Republic Day"
03/04/2024 21:58:16,18-24 years,Female,Equally from e-commerce websites and offline stores,"Product assortment and availability, Ability to physically inspect and test the product, Immediate availability of the product, Trust in the brand or seller",Slightly Lower on E-commerce Websites,E-commerce Websites,About the Same,Occasionally,"Smartphones, Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs)",Satisfied,"Product reviews and ratings, Product specifications and features, Discounts and promotions, Fast and reliable delivery, Easy returns and refunds",Slightly Likely,More specifications about the product and recommendations ,9,Somewhat Important,Occasionally,UPI (Unified Payments Interface),Amazon India,"Diwali, New Year, Independence Day, Dussehra"
03/04/2024 21:59:13,18-24 years,Female,Equally from e-commerce websites and offline stores,"Price competitiveness, Product assortment and availability, Ability to physically inspect and test the product, Immediate availability of the product, Trust in the brand or seller, Customer service and support",Slightly Lower on E-commerce Websites,Both Equally Convenient,Slightly Better in Offline Stores,Occasionally,"Smartphones, Tablets, Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Product specifications and features, Discounts and promotions, Fast and reliable delivery, Easy returns and refunds, Payment options, EMI Options",Neutral,Easy filtering ,10,Very Important,Occasionally,UPI (Unified Payments Interface),Amazon India,"Diwali, Christmas, Eid, New Year, Independence Day, Dussehra"
03/04/2024 21:59:23,18-24 years,Female,"Mostly from offline stores, occasionally from e-commerce websites","Price competitiveness, Product assortment and availability, Ability to physically inspect and test the product, Immediate availability of the product, Trust in the brand or seller, Customer service and support, Discounts and promotions",About the Same,Both Equally Convenient,About the Same,Rarely,"Smartphones, Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Neutral,"Price competitiveness, Product reviews and ratings, Brand reputation, Discounts and promotions",Slightly Likely,-,10,Very Important,Frequently,UPI (Unified Payments Interface),Amazon India,Diwali
03/04/2024 22:02:33,18-24 years,Male,"Mostly from e-commerce websites, occasionally from offline stores","Price competitiveness, Convenience of shopping from home, Discounts and promotions",Much Lower on E-commerce Websites,E-commerce Websites,Slightly Better on E-commerce Websites,Rarely,"Smartphones, Audio/Visual equipment (headphones, speakers, TVs)",Neutral,"Price competitiveness, Product reviews and ratings, Discounts and promotions, Payment options",Neutral,.,8,Very Important,Frequently,Credit/Debit Card,Amazon India,"Diwali, New Year, Independence Day, Dussehra"
